Column1,Column2,Column3,Column4
@nimmchan,"RT @DSKULLYS: 🚧 THE 2022 ROADMAP 🚧

☠️ AIRDROPS
☠️ SKULLY DAO
☠️ STAKING
☠️ $SKULLY TOKEN
☠️ MERCHANDISE
☠️ METAVERSE

Join us in our discord! https://t.co/q4sguPeUlG ‼️

#SolanaNFTs #SolanaNFT #NFTCommmunity #NFTLaunch #NFTdrop https://t.co/Feirr3d2UP",https://twitter.com/nimmchan/status/1483878300938571779,"January 20, 2022 at 03:05AM"
@RidoHermanto6,"RT @YieldYeti: GIVE ME THE YIELD 
GIVE ME THE YETI
GIVE ME THE YIELD 
GIVE ME THE YETI
GIVE ME THE YIELD 
GIVE ME THE YETI
GIVE ME THE YIELD 
GIVE ME THE YETI
GIVE ME THE YIELD 
GIVE ME THE YETI

🚀🚀🚀

#PlayToEarn 
#Metaverse 
#NFTs 
#Airdrops 
#DeFi 

🚀🚀🚀 https://t.co/PqjZwIIJ4E",https://twitter.com/RidoHermanto6/status/1483878302461095936,"January 20, 2022 at 03:05AM"
@fenixbache2310,"$BOOB 奶子币
口号是让全世界的人公平的享用完美的奶子
这应该是近期能够有现象级的表现的meme了
有市场有需求 做事团队
绝对是下一个 $PEOPLE $SOS $GAS
兄弟们 给我上
https://t.co/s22KDiwMCQ
刚买了8个 $ETH 目前已经爆拉30个点了

#NFT #Metaverse #Airdrop $ELON $SHIB
https://t.co/n3RTlrhqJD",https://twitter.com/fenixbache2310/status/1483878303803101194,"January 20, 2022 at 03:05AM"
@Mirkado21,"RT @SolanaBrains: Quick FAQ:

🧠Supply: 2222
🧠Price: 0.66 SOL
🧠Mint Date: TBD
🧠Whitelist: 1000 slots
🧠Discord: soon.

#SolSeaNFT #SolanaCommunity #SOL #SolanaAirdrop #Solana  #SolNFT #Metaverse #MINT #mintingnow #mintoftheday #NFT #nftart #NFTCommunity #NFTGiveaway #NFTs #NFTartist https://t.co/SpqmeJflKU",https://twitter.com/Mirkado21/status/1483878303819870214,"January 20, 2022 at 03:05AM"
@cagatayermis,"RT @GenxAnalytics: Heres the TOP🔟 #NFT Projects with a substantial increase in Trading Volume📈 over the last 7 days🔥💸

Excluding Projects under $10M and more than $500M to help spot Low/Midcap Gems with increased activity👀💎

$GHC $RARI $UFO $OPUL $TVK #K21 $EFI $WOOF $TLM $AGLD #METAVERSE https://t.co/adoT2VJakx",https://twitter.com/cagatayermis/status/1483878303824023557,"January 20, 2022 at 03:05AM"
@tsoler2424,"RT @SnoopDogg: Enter tha @FLUF_World Burrows! We collaborated on 500 rare Snoop Dogg studios for tha drop! This is how u smokebox tha metaverse. Lessgetit 🔥 @beyondvrgames #fluffworld 
 
➡️ Mint 2day  https://t.co/vCJCLHAtwY https://t.co/nqQZMVBOVn",https://twitter.com/tsoler2424/status/1483878304776081414,"January 20, 2022 at 03:05AM"
@SevastyanKorol7,"WELCOME TO @METACELO!

The First Play-To-Earn Metaverse NFT Game built on Celo Network!

#NFT #CELO #Metaverse #MetaCelo #Whitelist #GameFi

(Tag 3 Friends) https://t.co/XSOb5tz4jX",https://twitter.com/SevastyanKorol7/status/1483878304834899972,"January 20, 2022 at 03:05AM"
@chrismc64365081,"RT @LazyPrius: Read this thread to find out more about joining @FLUF_World 
$mgh #NFT #NFTs #web3 #Oracles #Meta #Metaverse #defi #dao $matic $sand $link https://t.co/zFincVYVMD",https://twitter.com/chrismc64365081/status/1483878306093191175,"January 20, 2022 at 03:05AM"
@cavalinhodoido,"RT @CryptoFaces_io: 🚨🚨🚨 #NFTGiveaway 🚨🚨🚨

Win $100💰Here's What To Do...

👉RT
👉Follow @CryptoFaces_io
👉Join the Discord https://t.co/8pcO22I1Zt 

@CryptoFaces_io are the future of Adult Entertainment in the #Metaverse

#NFTCollector #NFTCommunity #DigitalArt #NFT https://t.co/ISlldhc8on",https://twitter.com/cavalinhodoido/status/1483878306302906376,"January 20, 2022 at 03:05AM"
@Cbrigante2021,"RT @ROBOTOKENSPACE: 😀Hi! We're releasing an #NFTcollection to create a virtual space museum and an entire metaverse for space fans.

👍Each of our #NFTs will be a pass to the Back Future #metaverse. 

#NFTCommumity #SPACEMAN #Robotoken #Robotoken #NFTspace #NFTrobots #NFTUniverse #NFTArt #NFTFAM https://t.co/OqlIwGFxUS",https://twitter.com/Cbrigante2021/status/1483878306390982683,"January 20, 2022 at 03:05AM"
